IR switch matrix (Kawai part no. KKB-042), raw observations
===========================================================


keys  1-30
left part of PCB) (30 keys * 3 switches)

keys 31-88
right part of PCB (comprises 3 pieces) (58 keys * 3 switches)


List of matrix states
=====================

----  ------  --------
input         output
pins  diode   pins
12-9  sw-key  8-1
----  ------  --------

0000  1-01    11110001
0000  2-01    11110001
0000  3-01    11100000
0000  1-02    11110010
0000  2-02    11110010
0000  3-02    11010000
0000  1-03    11110100
0000  2-03    11110100
0000  3-03    10110000
0000  1-04    11111000
0000  2-04    11111000
0000  3-04    01110000

0000  1-31    11000100
0000  2-31    11000100
0000  3-31    10000000
0000  1-32    11001000
0000  2-32    11001000
0000  3-32    01000000


0001  1-09    11110001
0001  2-09    11110001
0001  3-09    11100000
0001  1-10    11110010
0001  2-10    11110010
0001  3-10    11010000
0001  1-11    11110100
0001  2-11    11110100
0001  3-11    10110000
0001  1-12    11111000
0001  2-12    11111000
0001  3-12    01110000

0001  1-37    11110001
0001  2-37    11110001
0001  3-37    11100000
0001  1-38    11110010
0001  2-38    11110010
0001  3-38    11010000
0001  1-39    11110100
0001  2-39    11110100
0001  3-39    10110000
0001  1-40    11111000
0001  2-40    11111000
0001  3-40    01110000


0010  1-05    11110001
0010  2-05    11110001
0010  3-05    11100000
0010  1-06    11110010
0010  2-06    11110010
0010  3-06    11010000
0010  1-07    11110100
0010  2-07    11110100
0010  3-07    10110000
0010  1-08    11111000
0010  2-08    11111000
0010  3-08    01111000

0010  1-33    11110001
0010  2-33    11110001
0010  3-33    11100000
0010  1-34    11110010
0010  2-34    11110010
0010  3-34    11010000
0010  1-35    11110100
0010  2-35    11110100
0010  3-35    10110000
0010  1-36    11111000
0010  2-36    11111000
0010  3-36    01110000


0011  1-13    11110001
0011  2-13    11110001
0011  3-13    11100000
0011  1-14    11110010
0011  2-14    11110010
0011  3-14    11010000
0011  1-15    11110100
0011  2-15    11110100
0011  3-15    10110000
0011  1-16    11111000
0011  2-16    11111000
0011  3-16    01110000

0011  1-41    11110001
0011  2-41    11110001
0011  3-41    11100000
0011  1-42    11110010
0011  2-42    11110010
0011  3-42    11010000
0011  1-43    11110100
0011  2-43    11110100
0011  3-43    10110000
0011  1-44    11111000
0011  2-44    11111000
0011  3-44    01110000


0100  1-17    11110001
0100  2-17    11110001
0100  3-17    11100000
0100  1-18    11110010
0100  2-18    11110010
0100  3-18    11010000
0100  1-19    11110100
0100  2-19    11110100
0100  3-19    10110000
0100  1-20    11111000
0100  2-20    11111000
0100  3-20    01110000

0100  1-45    11110001
0100  2-45    11110001
0100  3-45    11100000
0100  1-46    11110010
0100  2-46    11110010
0100  3-46    11010000
0100  1-47    11110100
0100  2-47    11110100
0100  3-47    11010000
0100  1-48    11111000
0100  2-48    11111000
0100  3-48    01110000


0101  1-25    11110001
0101  2-25    11110001
0101  3-25    11100000
0101  1-26    11110010
0101  2-26    11110010
0101  3-26    11010000
0101  1-27    11110100
0101  2-27    11110100
0101  3-27    10110000
0101  1-28    11111000
0101  2-28    11111000
0101  3-28    01110000

0101  1-53    11110001
0101  2-53    11110001
0101  3-53    11100000
0101  1-54    11110010
0101  2-54    11110010
0101  3-54    11010000
0101  1-55    11110100
0101  2-55    11110100
0101  3-55    10110000
0101  1-56    11111000
0101  2-56    11111000
0101  3-56    01110000


0110  1-21    11110001
0110  2-21    11110001
0110  3-21    11100000
0110  1-22    11110010
0110  2-22    11110010
0110  3-22    11010000
0110  1-23    11110100
0110  2-23    11110100
0110  3-23    10110000
0110  1-24    11111000
0110  2-24    11111000
0110  3-24    01110000

0110  1-49    11110001
0110  2-49    11110001
0110  3-49    11100000
0110  1-50    11110010
0110  2-50    11110010
0110  3-50    11010000
0110  1-51    11110100
0110  2-51    11110100
0110  3-51    10110000
0110  1-52    11111000
0110  2-52    11111000
0110  3-52    01110000


0111  1-29    00110001
0111  2-29    00110001
0111  3-29    00100000
0111  1-30    00110010
0111  2-30    00110010
0111  3-30    00010000

0111  1-57    11110001
0111  2-57    11110001
0111  3-57    11100000
0111  1-58    11110010
0111  2-58    11110010
0111  3-58    11010000
0111  1-59    11110100
0111  2-59    11110100
0111  3-59    10110000
0111  1-60    11111000
0111  2-60    11111000
0111  3-60    01110000


1000  1-61    11110001
1000  2-61    11110001
1000  3-61    11100000
1000  1-62    11110010
1000  2-62    11110010
1000  3-62    11010000
1000  1-63    11110100
1000  2-63    11110100
1000  3-63    10110000
1000  1-64    11111000
1000  2-64    11111000
1000  3-64    01110000


1001  1-69    11110001
1001  2-69    11110001
1001  3-69    11100000
1001  1-70    11110010
1001  2-70    11110010
1001  3-70    11010000
1001  1-71    11110100
1001  2-71    11110100
1001  3-71    10110000
1001  1-72    11111000
1001  2-72    11111000
1001  3-72    01110000


1010  1-65    11110001
1010  2-65    11110001
1010  3-65    11100000
1010  1-66    11110010
1010  2-66    11110010
1010  3-66    11010000
1010  1-67    11110100
1010  2-67    11110100
1010  3-67    10110000
1010  1-68    11111000
1010  2-68    11111000
1010  3-68    01110000


1011  1-73    11110001
1011  2-73    11110001
1011  3-73    11100000
1011  1-74    11110010
1011  2-74    11110010
1011  3-74    11010000
1011  1-75    11110100
1011  2-75    11110100
1011  3-75    10110000
1011  1-76    11111000
1011  2-76    11111000
1011  3-76    01110000


1100  1-77    11110001
1100  2-77    11110001
1100  3-77    11100000
1100  1-78    11110010
1100  2-78    11110010
1100  3-78    11010000
1100  1-79    11110100
1100  2-79    11110100
1100  3-79    10110000
1100  1-80    11111000
1100  2-80    11111000
1100  3-80    01110000


1101  1-85    11110001
1101  2-85    11110001
1101  3-85    11100000
1101  1-86    11110010
1101  2-86    11110010
1101  3-86    11010000
1101  1-87    11110100
1101  2-87    11110100
1101  3-87    10110000
1101  1-88    11111000
1101  2-88    11110000
1101  3-88    01110000


1110  1-81    11110001
1110  2-81    11110001
1110  3-81    11100000
1110  1-82    11110010
1110  2-82    11110010
1110  3-82    11010000
1110  1-83    11110100
1110  2-83    11110111
1110  3-83    10110000
1110  1-84    11111000
1110  2-84    11111000
1110  3-84    01110000
